run,seed,generation,best_accuracy_percent,best_fmeasure,tree_size,expression,expression_with_column_names
11,489,62,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,63,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,64,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,65,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,66,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,67,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,68,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,69,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,70,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,71,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,72,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,73,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,74,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,75,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,76,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,77,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,78,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,79,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,80,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,81,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,82,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,83,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,84,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,85,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,86,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,87,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,88,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,89,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,90,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,91,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,92,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,93,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
11,489,94,79.781421,0.097561,5,"(x3 - (4 - x1))","(inv_nodes - (4 - menopause))"
